NAZWA  PRODUKTU,Jm,Ilość,Cena jedn.netto/szt.,Wartość netto w PLN               /kolumna 4x5/,Podatek %VAT,Wartość brutto w PLN /kolumna 6+7/,Producent /model/ symbol
"Laptop fabrycznie nowy wraz ze stacja dokującą, zgodnie z opisem w Załączniku nr 3 do SWZ. ",szt.,3,,,,,
Komputer używany lub poleasingowy wraz z dodatkowym wyposażeniem  zgodnie z opisem w Załączniku nr 3 do SWZ.  ,szt.,22,,,,,
"Monitor fabrycznie nowy z dodatkowym wyposażeniem, zgodnie z opisem w Załączniku nr 3 do SWZ. ",szt.,22,,,,,
"Fabrycznie nowe notebooki, zgodnie z opisem w Załączniku nr 3 do SWZ. ",szt.,2,,,,,
"Fabrycznie nowy notebook z prezenterem laserowym, zgodnie z opisem w Załączniku nr 3 do SWZ. ",szt.,1,,,,,
"Pakiet biurowy, zgodnie z opisem w Załączniku nr 3 do SWZ. ",szt.,10,,,,,
"Komputer  fabrycznie nowy, zgodnie z opisem w Załączniku nr 3 do SWZ.",szt.,3,,,,,
"Komputer  fabrycznie nowy, zgodnie z opisem w Załączniku nr 3 do SWZ.",szt.,1,,,,,
"Pamięć DDR3, zgodnie z opisem w Załączniku nr 3 do SWZ. ",szt.,40,,,,,
"Dysk SSD, zgodnie z opisem w Załączniku nr 3 do SWZ.  ",szt.,70,,,,,
"Adapter HDD, zgodnie z opisem w Załączniku nr 3 do SWZ. ",szt.,70,,,,,
